ticker,sector,days_seen,dp_days,dp_coverage,pcr_days,opt_coverage,avg_dp_pct,avg_block_count,avg_combined_score,composite_score
CCJ,Energy,22,1,0.045,22,1.000,1.16,0.0,81.8,1.00
CAVA,Consumer Cyclical,17,1,0.059,17,1.000,0.84,0.0,82.5,1.00
CAT,Industrials,10,1,0.100,10,1.000,32.41,15.0,78.5,1.00
BE,Industrials,17,1,0.059,17,1.000,0.09,0.0,78.4,1.00
BA,Industrials,8,1,0.125,8,1.000,0.37,0.0,78.1,1.00
ARR,Real Estate,13,1,0.077,13,1.000,67.60,45.0,78.1,1.00
APH,Technology,8,1,0.125,8,1.000,0.21,0.0,77.5,1.00
ANET,Technology,13,1,0.077,13,1.000,0.13,0.0,85.9,1.00
ALGM,Technology,7,1,0.143,7,1.000,2.73,0.0,75.1,1.00
AKAM,Technology,21,1,0.048,21,1.000,0.77,0.0,81.9,1.00
AGX,Industrials,6,1,0.167,6,1.000,0.64,0.0,74.9,1.00
ADI,Technology,18,1,0.056,18,1.000,0.23,0.0,76.4,1.00
AA,Basic Materials,22,1,0.045,22,1.000,1.86,0.0,79.5,1.00
AAPL,Technology,17,3,0.176,5,0.294,0.08,0.0,80.8,0.88
PHYS,Financial Services,9,2,0.222,1,0.111,1.42,0.0,75.5,0.22
ZTO,Industrials,11,0,0.000,11,1.000,0.00,0.0,78.0,0.00
ZION,Financial Services,8,0,0.000,8,1.000,0.00,0.0,75.9,0.00
ZIM,Industrials,10,0,0.000,10,1.000,0.00,0.0,86.0,0.00
YUMC,Consumer Cyclical,13,0,0.000,13,1.000,0.00,0.0,80.1,0.00
YUM,Consumer Cyclical,12,0,0.000,12,1.000,0.00,0.0,80.5,0.00
YPF,Energy,18,0,0.000,18,1.000,0.00,0.0,81.5,0.00
YOU,Technology,13,0,0.000,13,1.000,0.00,0.0,83.5,0.00
XPRO,Energy,9,0,0.000,9,1.000,0.00,0.0,88.6,0.00
XPO,Industrials,13,0,0.000,13,1.000,0.00,0.0,81.6,0.00
XP,Financial Services,16,0,0.000,16,1.000,0.00,0.0,78.9,0.00
XEL,Utilities,18,0,0.000,18,1.000,0.00,0.0,78.0,0.00
WWD,Industrials,9,0,0.000,9,1.000,0.00,0.0,78.6,0.00
WULF,Financial Services,13,0,0.000,13,1.000,0.00,0.0,78.8,0.00
WU,Financial Services,9,0,0.000,9,1.000,0.00,0.0,85.2,0.00
WTRG,Utilities,19,0,0.000,19,1.000,0.00,0.0,83.0,0.00
WT,Financial Services,16,0,0.000,16,1.000,0.00,0.0,79.2,0.00
WSM,Consumer Cyclical,8,0,0.000,8,1.000,0.00,0.0,75.6,0.00
WSBC,Financial Services,5,0,0.000,5,1.000,0.00,0.0,76.1,0.00
WRBY,Healthcare,8,0,0.000,8,1.000,0.00,0.0,84.9,0.00
WPM,Basic Materials,14,0,0.000,14,1.000,0.00,0.0,79.8,0.00
WPC,Real Estate,14,0,0.000,14,1.000,0.00,0.0,79.0,0.00
WMB,Energy,22,0,0.000,22,1.000,0.00,0.0,84.0,0.00
WM,Industrials,15,0,0.000,15,1.000,0.00,0.0,78.3,0.00
WLK,Basic Materials,15,0,0.000,15,1.000,0.00,0.0,81.6,0.00
WHD,Energy,11,0,0.000,11,1.000,0.00,0.0,78.1,0.00
WFRD,Energy,16,0,0.000,16,1.000,0.00,0.0,77.5,0.00
WES,Energy,22,0,0.000,22,1.000,0.00,0.0,80.0,0.00
WERN,Industrials,5,0,0.000,5,1.000,0.00,0.0,93.5,0.00
