ticker,sector,days_seen,dp_days,dp_coverage,pcr_days,opt_coverage,avg_dp_pct,avg_block_count,avg_combined_score,composite_score
PHG,Healthcare,8,0,0.000,8,1.000,0.00,0.0,79.2,0.00
PH,Industrials,7,0,0.000,7,1.000,0.00,0.0,86.2,0.00
PG,Consumer Defensive,8,0,0.000,8,1.000,0.00,0.0,85.9,0.00
PFS,Financial Services,6,0,0.000,6,1.000,0.00,0.0,73.2,0.00
PFE,Healthcare,19,0,0.000,19,1.000,0.00,0.0,80.4,0.00
PEP,Consumer Defensive,13,0,0.000,13,1.000,0.00,0.0,75.9,0.00
PEG,Utilities,13,0,0.000,13,1.000,0.00,0.0,80.5,0.00
PECO,Real Estate,17,0,0.000,17,1.000,0.00,0.0,78.5,0.00
PCVX,Healthcare,11,0,0.000,11,1.000,0.00,0.0,80.7,0.00
PCG,Utilities,20,0,0.000,20,1.000,0.00,0.0,81.0,0.00
PCAR,Industrials,6,0,0.000,6,1.000,0.00,0.0,81.6,0.00
PBF,Energy,17,0,0.000,17,1.000,0.00,0.0,86.8,0.00
PBA,Energy,18,0,0.000,18,1.000,0.00,0.0,80.4,0.00
PAGS,Technology,10,0,0.000,10,1.000,0.00,0.0,84.8,0.00
PAGP,Energy,23,0,0.000,23,1.000,0.00,0.0,78.2,0.00
PACS,Financial Services,5,0,0.000,5,1.000,0.00,0.0,89.0,0.00
PAA,Energy,26,0,0.000,26,1.000,0.00,0.0,85.0,0.00
OVV,Energy,23,0,0.000,23,1.000,0.00,0.0,82.1,0.00
OUT,Real Estate,10,0,0.000,10,1.000,0.00,0.0,81.5,0.00
OTIS,Industrials,5,0,0.000,5,1.000,0.00,0.0,79.1,0.00
OSW,Consumer Cyclical,11,0,0.000,11,1.000,0.00,0.0,75.8,0.00
OSK,Industrials,7,0,0.000,7,1.000,0.00,0.0,79.1,0.00
OS,Technology,18,0,0.000,18,1.000,0.00,0.0,81.1,0.00
ORLA,Basic Materials,17,0,0.000,17,1.000,0.00,0.0,76.6,0.00
ORA,Utilities,6,0,0.000,6,1.000,0.00,0.0,83.8,0.00
OR,Basic Materials,20,0,0.000,20,1.000,0.00,0.0,84.7,0.00
ON,Technology,11,0,0.000,11,1.000,0.00,0.0,74.7,0.00
OMC,Communication Services,12,0,0.000,12,1.000,0.00,0.0,82.2,0.00
OLN,Basic Materials,20,0,0.000,20,1.000,0.00,0.0,81.0,0.00
OKE,Energy,19,0,0.000,19,1.000,0.00,0.0,82.2,0.00
OII,Energy,23,0,0.000,23,1.000,0.00,0.0,82.6,0.00
OHI,Real Estate,10,0,0.000,10,1.000,0.00,0.0,78.3,0.00
OGE,Utilities,16,0,0.000,16,1.000,0.00,0.0,81.3,0.00
ODFL,Industrials,8,0,0.000,8,1.000,0.00,0.0,84.0,0.00
O,Real Estate,13,0,0.000,13,1.000,0.00,0.0,77.8,0.00
NYT,Communication Services,24,0,0.000,24,1.000,0.00,0.0,79.5,0.00
NXT,Technology,17,0,0.000,17,1.000,0.00,0.0,80.3,0.00
NXPI,Technology,5,0,0.000,5,1.000,0.00,0.0,77.3,0.00
NXE,Energy,18,0,0.000,18,1.000,0.00,0.0,81.6,0.00
NWE,Utilities,8,0,0.000,8,1.000,0.00,0.0,83.7,0.00
NVTS,Technology,12,0,0.000,12,1.000,0.00,0.0,84.3,0.00
NVT,Industrials,18,0,0.000,18,1.000,0.00,0.0,77.9,0.00
NVST,Healthcare,7,0,0.000,7,1.000,0.00,0.0,87.9,0.00
NVS,Healthcare,10,0,0.000,10,1.000,0.00,0.0,79.1,0.00
NUE,Basic Materials,11,0,0.000,11,1.000,0.00,0.0,75.0,0.00
NTR,Basic Materials,25,0,0.000,25,1.000,0.00,0.0,82.2,0.00
NTCT,Technology,12,0,0.000,12,1.000,0.00,0.0,78.4,0.00
NSC,Industrials,9,0,0.000,9,1.000,0.00,0.0,84.0,0.00
NSA,Real Estate,13,0,0.000,13,1.000,0.00,0.0,80.4,0.00
NRG,Utilities,6,0,0.000,6,1.000,0.00,0.0,77.3,0.00
NOV,Energy,26,0,0.000,26,1.000,0.00,0.0,82.0,0.00
NOG,Energy,20,0,0.000,20,1.000,0.00,0.0,84.3,0.00
NOC,Industrials,10,0,0.000,10,1.000,0.00,0.0,81.1,0.00
NNN,Real Estate,11,0,0.000,11,1.000,0.00,0.0,78.3,0.00
NN,Communication Services,15,0,0.000,15,1.000,0.00,0.0,83.9,0.00
NMR,Financial Services,7,0,0.000,7,1.000,0.00,0.0,75.7,0.00
NIO,Consumer Cyclical,14,0,0.000,14,1.000,0.00,0.0,81.5,0.00
NI,Utilities,22,0,0.000,22,1.000,0.00,0.0,82.7,0.00
NGG,Utilities,14,0,0.000,14,1.000,0.00,0.0,79.2,0.00
NGD,Basic Materials,11,0,0.000,11,1.000,0.00,0.0,85.2,0.00
NG,Basic Materials,13,0,0.000,13,1.000,0.00,0.0,82.1,0.00
NFG,Energy,18,0,0.000,18,1.000,0.00,0.0,87.4,0.00
NET,Technology,10,0,0.000,10,1.000,0.00,0.0,83.0,0.00
NESR,Energy,20,0,0.000,17,0.850,0.00,0.0,82.3,0.00
NEOG,Healthcare,7,0,0.000,7,1.000,0.00,0.0,76.9,0.00
NE,Energy,23,0,0.000,23,1.000,0.00,0.0,85.9,0.00
NATL,Technology,9,0,0.000,9,1.000,0.00,0.0,81.2,0.00
MWA,Industrials,11,0,0.000,11,1.000,0.00,0.0,82.8,0.00
MUR,Energy,23,0,0.000,23,1.000,0.00,0.0,83.6,0.00
MUFG,Financial Services,9,0,0.000,9,1.000,0.00,0.0,73.8,0.00
MTZ,Industrials,16,0,0.000,16,1.000,0.00,0.0,81.5,0.00
MTSI,Technology,14,0,0.000,14,1.000,0.00,0.0,77.5,0.00
MTDR,Energy,17,0,0.000,17,1.000,0.00,0.0,80.1,0.00
MTB,Financial Services,7,0,0.000,7,1.000,0.00,0.0,74.3,0.00
MT,Basic Materials,13,0,0.000,13,1.000,0.00,0.0,77.3,0.00
MSM,Industrials,7,0,0.000,7,1.000,0.00,0.0,86.6,0.00
MSI,Technology,16,0,0.000,16,1.000,0.00,0.0,81.7,0.00
MRK,Healthcare,13,0,0.000,13,1.000,0.00,0.0,79.9,0.00
MPC,Energy,20,0,0.000,20,1.000,0.00,0.0,84.1,0.00
MP,Basic Materials,7,0,0.000,7,1.000,0.00,0.0,87.7,0.00
MLM,Basic Materials,5,0,0.000,5,1.000,0.00,0.0,78.7,0.00
MLI,Industrials,5,0,0.000,5,1.000,0.00,0.0,90.5,0.00
MKSI,Technology,18,0,0.000,18,1.000,0.00,0.0,81.2,0.00
MIRM,Healthcare,6,0,0.000,6,1.000,0.00,0.0,77.4,0.00
MGY,Energy,24,0,0.000,24,1.000,0.00,0.0,81.8,0.00
MGM,Consumer Cyclical,17,0,0.000,17,1.000,0.00,0.0,76.9,0.00
MGA,Consumer Cyclical,6,0,0.000,6,1.000,0.00,0.0,85.1,0.00
MFG,Financial Services,7,0,0.000,7,1.000,0.00,0.0,76.2,0.00
MEOH,Basic Materials,18,0,0.000,18,1.000,0.00,0.0,82.3,0.00
MDU,Industrials,12,0,0.000,12,1.000,0.00,0.0,80.5,0.00
MCW,Consumer Cyclical,10,0,0.000,10,1.000,0.00,0.0,74.6,0.00
MCK,Healthcare,5,0,0.000,5,1.000,0.00,0.0,88.4,0.00
MCHP,Technology,6,0,0.000,6,1.000,0.00,0.0,75.0,0.00
MCD,Consumer Cyclical,12,0,0.000,12,1.000,0.00,0.0,82.6,0.00
MASI,Healthcare,8,0,0.000,8,1.000,0.00,0.0,75.0,0.00
MAR,Consumer Cyclical,7,0,0.000,7,1.000,0.00,0.0,83.6,0.00
MAC,Real Estate,12,0,0.000,12,1.000,0.00,0.0,85.6,0.00
LYV,Communication Services,14,0,0.000,14,1.000,0.00,0.0,81.8,0.00
LYG,Financial Services,7,0,0.000,7,1.000,0.00,0.0,73.4,0.00
LYB,Basic Materials,19,0,0.000,19,1.000,0.00,0.0,80.7,0.00
LUNR,Industrials,17,0,0.000,17,1.000,0.00,0.0,84.5,0.00
LSCC,Technology,21,0,0.000,21,1.000,0.00,0.0,79.2,0.00
LRCX,Technology,15,0,0.000,15,1.000,0.00,0.0,77.9,0.00
LQDA,Healthcare,7,0,0.000,7,1.000,0.00,0.0,84.6,0.00
LNTH,Healthcare,10,0,0.000,10,1.000,0.00,0.0,76.3,0.00
LNT,Utilities,20,0,0.000,20,1.000,0.00,0.0,81.8,0.00
LIVN,Healthcare,8,0,0.000,8,1.000,0.00,0.0,82.7,0.00
LION,Communication Services,15,0,0.000,15,1.000,0.00,0.0,84.7,0.00
LINE,Real Estate,6,0,0.000,6,1.000,0.00,0.0,87.0,0.00
LIN,Basic Materials,17,0,0.000,17,1.000,0.00,0.0,80.4,0.00
LH,Healthcare,5,0,0.000,5,1.000,0.00,0.0,84.7,0.00
LGN,Industrials,20,0,0.000,20,1.000,0.00,0.0,80.2,0.00
LBTYK,Communication Services,18,0,0.000,18,1.000,0.00,0.0,81.4,0.00
LBRT,Energy,16,0,0.000,16,1.000,0.00,0.0,79.8,0.00
LB,Energy,7,0,0.000,7,1.000,0.00,0.0,87.1,0.00
LAUR,Consumer Defensive,10,0,0.000,10,1.000,0.00,0.0,85.8,0.00
LASR,Technology,18,0,0.000,18,1.000,0.00,0.0,81.6,0.00
LAMR,Real Estate,7,0,0.000,7,1.000,0.00,0.0,87.5,0.00
KYMR,Healthcare,7,0,0.000,7,1.000,0.00,0.0,74.5,0.00
KT,Communication Services,10,0,0.000,10,1.000,0.00,0.0,85.1,0.00
KRMN,Industrials,15,0,0.000,15,1.000,0.00,0.0,79.6,0.00
KRG,Real Estate,10,0,0.000,10,1.000,0.00,0.0,76.5,0.00
KR,Consumer Defensive,12,0,0.000,12,1.000,0.00,0.0,82.1,0.00
KO,Consumer Defensive,16,0,0.000,16,1.000,0.00,0.0,79.5,0.00
KNX,Industrials,8,0,0.000,8,1.000,0.00,0.0,87.2,0.00
KNTK,Energy,22,0,0.000,22,1.000,0.00,0.0,85.3,0.00
KNSA,Healthcare,14,0,0.000,14,1.000,0.00,0.0,83.6,0.00
KMT,Industrials,13,0,0.000,13,1.000,0.00,0.0,82.2,0.00
KMI,Energy,26,0,0.000,26,1.000,0.00,0.0,83.7,0.00
KLIC,Technology,15,0,0.000,15,1.000,0.00,0.0,82.4,0.00
KLAC,Technology,14,0,0.000,14,1.000,0.00,0.0,77.9,0.00
KIM,Real Estate,15,0,0.000,15,1.000,0.00,0.0,76.7,0.00
KGS,Energy,21,0,0.000,21,1.000,0.00,0.0,83.2,0.00
KGC,Basic Materials,21,0,0.000,21,1.000,0.00,0.0,79.2,0.00
KEYS,Technology,16,0,0.000,16,1.000,0.00,0.0,81.0,0.00
KEY,Financial Services,7,0,0.000,7,1.000,0.00,0.0,77.1,0.00
KEX,Industrials,9,0,0.000,9,1.000,0.00,0.0,86.2,0.00
KEP,Utilities,5,0,0.000,5,1.000,0.00,0.0,79.8,0.00
KC,Technology,8,0,0.000,8,1.000,0.00,0.0,73.2,0.00
JHG,Financial Services,23,0,0.000,23,1.000,0.00,0.0,76.9,0.00
JCI,Industrials,12,0,0.000,12,1.000,0.00,0.0,80.6,0.00
JBS,Consumer Defensive,17,0,0.000,17,1.000,0.00,0.0,80.9,0.00
JBLU,Industrials,6,0,0.000,6,1.000,0.00,0.0,78.6,0.00
JBHT,Industrials,9,0,0.000,9,1.000,0.00,0.0,82.0,0.00
JAZZ,Healthcare,11,0,0.000,11,1.000,0.00,0.0,79.5,0.00
ITW,Industrials,9,0,0.000,9,1.000,0.00,0.0,83.1,0.00
ITT,Industrials,8,0,0.000,8,1.000,0.00,0.0,83.9,0.00
IRM,Real Estate,12,0,0.000,12,1.000,0.00,0.0,79.9,0.00
IRDM,Communication Services,20,0,0.000,20,1.000,0.00,0.0,84.0,0.00
IR,Industrials,7,0,0.000,7,1.000,0.00,0.0,86.2,0.00
IPGP,Technology,7,0,0.000,7,1.000,0.00,0.0,85.1,0.00
INTR,Financial Services,8,0,0.000,8,1.000,0.00,0.0,85.6,0.00
INSW,Energy,11,0,0.000,11,1.000,0.00,0.0,84.0,0.00
INGM,Technology,12,0,0.000,12,1.000,0.00,0.0,81.6,0.00
IMVT,Healthcare,6,0,0.000,6,1.000,0.00,0.0,86.9,0.00
IMO,Energy,18,0,0.000,18,1.000,0.00,0.0,80.8,0.00
IMAX,Communication Services,12,0,0.000,12,1.000,0.00,0.0,84.9,0.00
ILMN,Healthcare,5,0,0.000,5,1.000,0.00,0.0,83.9,0.00
IHS,Communication Services,19,0,0.000,19,1.000,0.00,0.0,83.1,0.00
IFF,Basic Materials,8,0,0.000,8,1.000,0.00,0.0,80.2,0.00
IE,Technology,5,0,0.000,5,1.000,0.00,0.0,76.0,0.00
IBKR,Financial Services,7,0,0.000,7,1.000,0.00,0.0,79.1,0.00
IAC,Technology,16,0,0.000,16,1.000,0.00,0.0,84.0,0.00
HXL,Industrials,14,0,0.000,14,1.000,0.00,0.0,82.5,0.00
HUT,Financial Services,7,0,0.000,7,1.000,0.00,0.0,73.6,0.00
HUN,Basic Materials,12,0,0.000,12,1.000,0.00,0.0,83.7,0.00
HTO,Utilities,7,0,0.000,7,1.000,0.00,0.0,85.1,0.00
HSY,Consumer Defensive,8,0,0.000,8,1.000,0.00,0.0,86.9,0.00
HST,Real Estate,12,0,0.000,12,1.000,0.00,0.0,79.0,0.00
HSBC,Financial Services,10,0,0.000,10,1.000,0.00,0.0,79.9,0.00
HSAI,Consumer Cyclical,6,0,0.000,6,1.000,0.00,0.0,79.8,0.00
HR,Real Estate,13,0,0.000,13,1.000,0.00,0.0,80.6,0.00
HPE,Technology,5,0,0.000,5,1.000,0.00,0.0,86.8,0.00
HP,Energy,22,0,0.000,22,1.000,0.00,0.0,84.7,0.00
HON,Industrials,11,0,0.000,11,1.000,0.00,0.0,79.5,0.00
HOLX,Healthcare,11,0,0.000,11,1.000,0.00,0.0,73.1,0.00
HMY,Basic Materials,6,0,0.000,6,1.000,0.00,0.0,78.4,0.00
HLT,Consumer Cyclical,13,0,0.000,13,1.000,0.00,0.0,81.1,0.00
HLN,Healthcare,5,0,0.000,5,1.000,0.00,0.0,85.9,0.00
HII,Industrials,5,0,0.000,5,1.000,0.00,0.0,82.5,0.00
HIG,Financial Services,11,0,0.000,11,1.000,0.00,0.0,77.5,0.00
HESM,Energy,23,0,0.000,23,1.000,0.00,0.0,82.7,0.00
HE,Utilities,8,0,0.000,8,1.000,0.00,0.0,75.4,0.00
HCC,Energy,14,0,0.000,14,1.000,0.00,0.0,84.6,0.00
HCA,Healthcare,13,0,0.000,13,1.000,0.00,0.0,77.6,0.00
HBM,Basic Materials,14,0,0.000,14,1.000,0.00,0.0,82.9,0.00
HASI,Financial Services,11,0,0.000,11,1.000,0.00,0.0,76.9,0.00
HAS,Consumer Cyclical,12,0,0.000,12,1.000,0.00,0.0,78.6,0.00
HAL,Energy,19,0,0.000,19,1.000,0.00,0.0,84.1,0.00
HAFN,Industrials,13,0,0.000,13,1.000,0.00,0.0,80.5,0.00
H,Consumer Cyclical,5,0,0.000,5,1.000,0.00,0.0,79.7,0.00
GXO,Industrials,7,0,0.000,7,1.000,0.00,0.0,82.4,0.00
GTX,Consumer Cyclical,16,0,0.000,16,1.000,0.00,0.0,83.8,0.00
GTLS,Industrials,5,0,0.000,5,1.000,0.00,0.0,74.7,0.00
GSK,Healthcare,9,0,0.000,9,1.000,0.00,0.0,84.2,0.00
GSAT,Communication Services,8,0,0.000,8,1.000,0.00,0.0,86.3,0.00
GRMN,Technology,14,0,0.000,14,1.000,0.00,0.0,85.0,0.00
GRDN,Healthcare,7,0,0.000,7,1.000,0.00,0.0,86.9,0.00
GNRC,Industrials,12,0,0.000,12,1.000,0.00,0.0,82.0,0.00
GNL,Real Estate,12,0,0.000,12,1.000,0.00,0.0,78.6,0.00
GMED,Healthcare,8,0,0.000,8,1.000,0.00,0.0,81.0,0.00
GME,Consumer Cyclical,10,0,0.000,10,1.000,0.00,0.0,85.5,0.00
GLPI,Real Estate,10,0,0.000,10,1.000,0.00,0.0,79.7,0.00
GLNG,Energy,11,0,0.000,11,1.000,0.00,0.0,82.9,0.00
GILD,Healthcare,10,0,0.000,10,1.000,0.00,0.0,82.6,0.00
GGG,Industrials,7,0,0.000,7,1.000,0.00,0.0,86.6,0.00
GFS,Technology,21,0,0.000,21,1.000,0.00,0.0,82.0,0.00
GFI,Basic Materials,17,0,0.000,17,1.000,0.00,0.0,84.0,0.00
GE,Industrials,13,0,0.000,13,1.000,0.00,0.0,82.7,0.00
GDS,Technology,9,0,0.000,9,1.000,0.00,0.0,76.7,0.00
GD,Industrials,13,0,0.000,13,1.000,0.00,0.0,82.5,0.00
FULT,Financial Services,8,0,0.000,8,1.000,0.00,0.0,75.9,0.00
FTV,Technology,12,0,0.000,12,1.000,0.00,0.0,82.9,0.00
FTS,Utilities,17,0,0.000,17,1.000,0.00,0.0,79.9,0.00
FTI,Energy,25,0,0.000,25,1.000,0.00,0.0,82.4,0.00
FTDR,Consumer Cyclical,6,0,0.000,6,1.000,0.00,0.0,82.0,0.00
FSM,Basic Materials,16,0,0.000,16,1.000,0.00,0.0,81.6,0.00
FRT,Real Estate,9,0,0.000,9,1.000,0.00,0.0,76.5,0.00
FRPT,Consumer Defensive,8,0,0.000,8,1.000,0.00,0.0,85.8,0.00
FR,Real Estate,16,0,0.000,16,1.000,0.00,0.0,82.1,0.00
FORM,Technology,20,0,0.000,20,1.000,0.00,0.0,81.4,0.00
FOLD,Healthcare,10,0,0.000,10,1.000,0.00,0.0,82.0,0.00
FNV,Basic Materials,8,0,0.000,8,1.000,0.00,0.0,79.2,0.00
FNB,Financial Services,7,0,0.000,7,1.000,0.00,0.0,83.2,0.00
FN,Technology,14,0,0.000,14,1.000,0.00,0.0,80.1,0.00
FLS,Industrials,8,0,0.000,8,1.000,0.00,0.0,83.5,0.00
FLR,Industrials,12,0,0.000,12,1.000,0.00,0.0,80.7,0.00
FLG,Financial Services,8,0,0.000,8,1.000,0.00,0.0,75.3,0.00
FLEX,Technology,14,0,0.000,14,1.000,0.00,0.0,76.8,0.00
FIVE,Consumer Cyclical,16,0,0.000,16,1.000,0.00,0.0,79.8,0.00
FIGS,Consumer Cyclical,14,0,0.000,14,1.000,0.00,0.0,82.0,0.00
FHN,Financial Services,6,0,0.000,6,1.000,0.00,0.0,88.5,0.00
FHI,Financial Services,19,0,0.000,19,1.000,0.00,0.0,80.2,0.00
FFBC,Financial Services,6,0,0.000,6,1.000,0.00,0.0,72.2,0.00
FERG,Industrials,7,0,0.000,7,1.000,0.00,0.0,79.1,0.00
FER,Industrials,6,0,0.000,6,1.000,0.00,0.0,76.4,0.00
FE,Utilities,20,0,0.000,20,1.000,0.00,0.0,84.8,0.00
FCFS,Financial Services,5,0,0.000,5,1.000,0.00,0.0,77.7,0.00
FBP,Financial Services,8,0,0.000,8,1.000,0.00,0.0,81.7,0.00
FAST,Industrials,16,0,0.000,16,1.000,0.00,0.0,78.3,0.00
FANG,Energy,21,0,0.000,21,1.000,0.00,0.0,80.6,0.00
FAF,Financial Services,13,0,0.000,13,1.000,0.00,0.0,81.0,0.00
EYE,Consumer Cyclical,6,0,0.000,6,1.000,0.00,0.0,85.4,0.00
EXR,Real Estate,7,0,0.000,7,1.000,0.00,0.0,88.1,0.00
EXK,Basic Materials,15,0,0.000,15,1.000,0.00,0.0,80.1,0.00
EXEL,Healthcare,9,0,0.000,9,1.000,0.00,0.0,85.4,0.00
EXE,Energy,12,0,0.000,12,1.000,0.00,0.0,84.4,0.00
EXC,Utilities,20,0,0.000,20,1.000,0.00,0.0,80.8,0.00
EXAS,Healthcare,9,0,0.000,9,1.000,0.00,0.0,81.6,0.00
EWTX,Healthcare,12,0,0.000,12,1.000,0.00,0.0,77.0,0.00
EW,Healthcare,9,0,0.000,9,1.000,0.00,0.0,83.3,0.00
EVRG,Utilities,21,0,0.000,21,1.000,0.00,0.0,81.7,0.00
ETR,Utilities,20,0,0.000,20,1.000,0.00,0.0,81.9,0.00
ETN,Industrials,12,0,0.000,12,1.000,0.00,0.0,84.7,0.00
ESI,Basic Materials,16,0,0.000,16,1.000,0.00,0.0,77.4,0.00
ES,Utilities,21,0,0.000,21,1.000,0.00,0.0,83.7,0.00
ERO,Basic Materials,9,0,0.000,9,1.000,0.00,0.0,78.9,0.00
ERIC,Technology,19,0,0.000,19,1.000,0.00,0.0,81.5,0.00
ERAS,Healthcare,16,0,0.000,16,1.000,0.00,0.0,80.8,0.00
EQX,Basic Materials,17,0,0.000,17,1.000,0.00,0.0,80.2,0.00
EQT,Energy,24,0,0.000,24,1.000,0.00,0.0,83.8,0.00
EQNR,Energy,24,0,0.000,24,1.000,0.00,0.0,84.0,0.00
EQIX,Real Estate,15,0,0.000,15,1.000,0.00,0.0,76.4,0.00
EPRT,Real Estate,14,0,0.000,14,1.000,0.00,0.0,77.2,0.00
EPR,Real Estate,7,0,0.000,7,1.000,0.00,0.0,78.4,0.00
EPD,Energy,21,0,0.000,21,1.000,0.00,0.0,82.3,0.00
EOG,Energy,18,0,0.000,18,1.000,0.00,0.0,80.1,0.00
ENTG,Technology,11,0,0.000,11,1.000,0.00,0.0,74.5,0.00
ENPH,Energy,18,0,0.000,18,1.000,0.00,0.0,84.6,0.00
ENB,Energy,23,0,0.000,23,1.000,0.00,0.0,86.9,0.00
EMR,Industrials,9,0,0.000,9,1.000,0.00,0.0,79.4,0.00
EMN,Basic Materials,13,0,0.000,13,1.000,0.00,0.0,82.8,0.00
ELS,Real Estate,15,0,0.000,15,1.000,0.00,0.0,80.5,0.00
ELAN,Healthcare,7,0,0.000,7,1.000,0.00,0.0,86.8,0.00
EL,Consumer Defensive,6,0,0.000,6,1.000,0.00,0.0,79.1,0.00
EIX,Utilities,22,0,0.000,22,1.000,0.00,0.0,82.4,0.00
EFXT,Energy,5,0,0.000,5,1.000,0.00,0.0,83.2,0.00
EDU,Consumer Defensive,7,0,0.000,7,1.000,0.00,0.0,75.2,0.00
ED,Utilities,21,0,0.000,21,1.000,0.00,0.0,80.2,0.00
ECL,Basic Materials,8,0,0.000,8,1.000,0.00,0.0,76.8,0.00
ECG,Industrials,7,0,0.000,7,1.000,0.00,0.0,76.6,0.00
EC,Energy,21,0,0.000,21,1.000,0.00,0.0,84.1,0.00
EBAY,Consumer Cyclical,11,0,0.000,11,1.000,0.00,0.0,82.7,0.00
EA,Communication Services,7,0,0.000,7,1.000,0.00,0.0,74.2,0.00
E,Energy,12,0,0.000,12,1.000,0.00,0.0,84.2,0.00
DVN,Energy,21,0,0.000,21,1.000,0.00,0.0,84.0,0.00
DVA,Healthcare,12,0,0.000,12,1.000,0.00,0.0,75.0,0.00
DUK,Utilities,22,0,0.000,22,1.000,0.00,0.0,81.4,0.00
DTM,Energy,19,0,0.000,19,1.000,0.00,0.0,85.8,0.00
DTE,Utilities,24,0,0.000,24,1.000,0.00,0.0,82.3,0.00
DRS,Industrials,20,0,0.000,20,1.000,0.00,0.0,82.0,0.00
DRI,Consumer Cyclical,8,0,0.000,8,1.000,0.00,0.0,82.3,0.00
DRH,Real Estate,5,0,0.000,5,1.000,0.00,0.0,77.1,0.00
DOW,Basic Materials,18,0,0.000,18,1.000,0.00,0.0,78.7,0.00
DOV,Industrials,6,0,0.000,6,1.000,0.00,0.0,83.1,0.00
DOCN,Technology,16,0,0.000,16,1.000,0.00,0.0,79.8,0.00
DNLI,Healthcare,11,0,0.000,11,1.000,0.00,0.0,77.1,0.00
DLR,Real Estate,20,0,0.000,20,1.000,0.00,0.0,79.8,0.00
DK,Energy,21,0,0.000,21,1.000,0.00,0.0,83.7,0.00
DINO,Energy,17,0,0.000,17,1.000,0.00,0.0,85.9,0.00
DHT,Energy,23,0,0.000,23,1.000,0.00,0.0,81.7,0.00
DG,Consumer Defensive,7,0,0.000,7,1.000,0.00,0.0,77.4,0.00
DECK,Consumer Cyclical,5,0,0.000,5,1.000,0.00,0.0,76.4,0.00
DE,Industrials,10,0,0.000,10,1.000,0.00,0.0,81.7,0.00
DD,Basic Materials,11,0,0.000,11,1.000,0.00,0.0,78.0,0.00
DBRG,Real Estate,12,0,0.000,12,1.000,0.00,0.0,80.8,0.00
DAVE,Technology,5,0,0.000,5,1.000,0.00,0.0,90.0,0.00
DAR,Consumer Defensive,16,0,0.000,16,1.000,0.00,0.0,80.2,0.00
DAN,Consumer Cyclical,21,0,0.000,21,1.000,0.00,0.0,78.4,0.00
DAL,Industrials,7,0,0.000,7,1.000,0.00,0.0,75.3,0.00
D,Utilities,21,0,0.000,21,1.000,0.00,0.0,80.2,0.00
CZR,Consumer Cyclical,11,0,0.000,11,1.000,0.00,0.0,83.2,0.00
CYTK,Healthcare,10,0,0.000,10,1.000,0.00,0.0,74.2,0.00
CXW,Real Estate,7,0,0.000,7,1.000,0.00,0.0,82.6,0.00
CX,Basic Materials,9,0,0.000,9,1.000,0.00,0.0,77.7,0.00
CWEN,Utilities,17,0,0.000,17,1.000,0.00,0.0,81.5,0.00
CWAN,Technology,6,0,0.000,6,1.000,0.00,0.0,75.9,0.00
CVI,Energy,10,0,0.000,10,1.000,0.00,0.0,87.1,0.00
CVE,Energy,22,0,0.000,22,1.000,0.00,0.0,81.8,0.00
CURB,Real Estate,7,0,0.000,7,1.000,0.00,0.0,75.9,0.00
CUBE,Real Estate,7,0,0.000,7,1.000,0.00,0.0,76.4,0.00
CTVA,Basic Materials,24,0,0.000,24,1.000,0.00,0.0,80.9,0.00
CTRI,Utilities,20,0,0.000,20,1.000,0.00,0.0,81.8,0.00
CTRE,Real Estate,17,0,0.000,17,1.000,0.00,0.0,79.0,0.00
CTRA,Energy,17,0,0.000,17,1.000,0.00,0.0,84.1,0.00
CSX,Industrials,14,0,0.000,14,1.000,0.00,0.0,79.1,0.00
CSTM,Basic Materials,18,0,0.000,18,1.000,0.00,0.0,80.8,0.00
CSCO,Technology,15,0,0.000,15,1.000,0.00,0.0,81.4,0.00
CRUS,Technology,9,0,0.000,9,1.000,0.00,0.0,83.6,0.00
CRSP,Healthcare,8,0,0.000,8,1.000,0.00,0.0,82.9,0.00
CRS,Industrials,12,0,0.000,12,1.000,0.00,0.0,81.5,0.00
CRK,Energy,7,0,0.000,7,1.000,0.00,0.0,92.4,0.00
CRGY,Energy,17,0,0.000,17,1.000,0.00,0.0,83.1,0.00
CRC,Energy,15,0,0.000,15,1.000,0.00,0.0,87.7,0.00
CPRX,Healthcare,14,0,0.000,14,1.000,0.00,0.0,81.2,0.00
CPAY,Technology,9,0,0.000,9,1.000,0.00,0.0,83.1,0.00
CP,Industrials,10,0,0.000,10,1.000,0.00,0.0,80.4,0.00
CORZ,Technology,5,0,0.000,5,1.000,0.00,0.0,79.0,0.00
COR,Healthcare,7,0,0.000,7,1.000,0.00,0.0,87.3,0.00
CON,Healthcare,11,0,0.000,11,1.000,0.00,0.0,80.5,0.00
COMM,Technology,10,0,0.000,10,1.000,0.00,0.0,84.4,0.00
COGT,Healthcare,6,0,0.000,6,1.000,0.00,0.0,83.2,0.00
COCO,Consumer Defensive,12,0,0.000,12,1.000,0.00,0.0,82.4,0.00
CNX,Energy,24,0,0.000,24,1.000,0.00,0.0,83.0,0.00
CNR,Energy,16,0,0.000,16,1.000,0.00,0.0,90.3,0.00
CNP,Utilities,21,0,0.000,21,1.000,0.00,0.0,79.4,0.00
CNK,Communication Services,11,0,0.000,11,1.000,0.00,0.0,84.1,0.00
CNI,Industrials,14,0,0.000,14,1.000,0.00,0.0,78.6,0.00
CNC,Healthcare,9,0,0.000,9,1.000,0.00,0.0,86.4,0.00
CMS,Utilities,21,0,0.000,21,1.000,0.00,0.0,82.0,0.00
