ticker,sector,category,days_seen,dp_days,dp_coverage,pcr_days,opt_coverage,avg_dp_pct,dp_pct_cv,avg_block_count,avg_pcr,avg_combined_score
AMR,Energy,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.808,138.8
AMRX,Healthcare,C,5,0,0.00,5,1.00,0.00,0.00,0.0,0.457,76.2
AMRZ,Basic Materials,C,13,0,0.00,13,1.00,0.00,0.00,0.0,0.433,78.3
AMTM,Industrials,C,8,0,0.00,8,1.00,0.00,0.00,0.0,0.392,76.8
AMX,Communication Services,C,15,0,0.00,15,1.00,0.00,0.00,0.0,0.428,87.5
ANDE,Consumer Defensive,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.119,77.5
ANET,Technology,C,13,1,0.08,13,1.00,0.13,0.00,0.0,0.473,85.9
ANF,Consumer Cyclical,C,1,0,0.00,1,1.00,0.00,0.00,0.0,1.091,73.0
AOS,Industrials,C,5,0,0.00,5,1.00,0.00,0.00,0.0,0.183,90.0
APA,Energy,C,18,0,0.00,18,1.00,0.00,0.00,0.0,0.513,85.9
APD,Basic Materials,C,14,0,0.00,14,1.00,0.00,0.00,0.0,0.381,80.4
APG,Industrials,C,2,0,0.00,2,1.00,0.00,0.00,0.0,2.960,79.5
APGE,Healthcare,C,10,0,0.00,10,1.00,0.00,0.00,0.0,0.475,74.2
APH,Technology,C,8,1,0.12,8,1.00,0.21,0.00,0.0,1.435,77.5
APLD,Technology,C,9,0,0.00,9,1.00,0.00,0.00,0.0,0.454,77.9
APLE,Real Estate,C,7,0,0.00,7,1.00,0.00,0.00,0.0,3.058,75.4
APLS,Healthcare,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.585,104.5
APP,Technology,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.100,73.0
APTV,Consumer Cyclical,C,1,0,0.00,1,1.00,0.00,0.00,0.0,1.266,77.5
AQN,Utilities,C,14,0,0.00,14,1.00,0.00,0.00,0.0,0.787,80.0
AR,Energy,C,17,0,0.00,17,1.00,0.00,0.00,0.0,3.979,83.2
ARCB,Industrials,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.600,79.0
ARLP,Energy,C,5,0,0.00,5,1.00,0.00,0.00,0.0,0.279,83.4
ARM,Technology,C,3,2,0.67,3,1.00,0.13,0.22,0.0,0.459,80.8
ARMK,Industrials,C,18,0,0.00,18,1.00,0.00,0.00,0.0,8.063,78.4
ARMN,Basic Materials,C,13,0,0.00,13,1.00,0.00,0.00,0.0,0.602,85.2
